Full Name,Organization,Position (Verbatim),Position (Type),Year (Start),Year (End)
Christopher Jannusch,Caltrans,Staff,,,
Christopher States,Caltrans District 4,Senior Environmental Planner,,,
Christopher Valadez,California State Board of Food and Agriculture,Agricultural Member,Board Member,,
Christopher Valadez,Grower-Shipper Association of Central California,President,Director,,
Claire Schlotterbeck,Hills for Everyone,Executive Director,,,
Claire Schlotterbeck,Wildlife Corridor Working Group,Member,,,
Cliff Feldheim,California Department of Water Resources,Staff Environmental Scientist,,,
Cliff Feldheim,San Francisco Bay Joint Venture,Board Member,,,
Cliff Feldheim,Central Valley Joint Venture,Board Member,,,
Cliff Feldheim,California Department of Water Resources,Environmental Program Manager,,,
Clifton Meek,U.S. EPA Region 9,Staff,,,
Clint Holtzen,Sacramento Area Council of Governments,Planning Manager,Employee,,
Colleen Rossier,California Biodiversity Network,,Member,,
Colleen Rossier,Karuk Department of Natural Resources,,Employee,,
Columba Quintero,Native American Land Conservancy,Executive Director,,,
Connell Dunning,U.S. EPA Region 9,Environmental Protection Specialist,,,
Courtney Riggle,Agricultural Sustainability Institute,Project Policy Analyst,Employee,,2020
Courtney Riggle,Food Systems Lab,Project Policy Analyst,Employee,2020,
Courtney Riggle,IC-FOODS,Board Member,Board Member,2019,
Craig Thompson,Rockside Ranch,Director,,,
Craig Weightman,California Department of Fish and Wildlife,Environmental Program Manager,,,
Cristin Hallissy,Caltrans Division of Environmental Analysis,Branch Chief,,,
Cynthia Conners,City of Laguna Woods,City Council,,,
Cynthia Conners,Wildlife Corridor Working Group,Member,,,
Dale Garrison,U.S. Fish and Wildlife Service,CVPIA Refuge Water Supply Coordinator,,,
Dale Garrison,Central Valley Joint Venture,Board Member,,,
Dan Corcoran,El Dorado Irrigation District,Director of Operations,,,
Dan Corcoran,Plant and Wildlife Technical Advisory Committee,Member,,,
Dan Haas,Mountain Area Preservation,Board,Board Member,,
Dan Medeiros,Land Trust of Santa Cruz County,Projects Director,,,
Dan Medeiros,Wildlife Corridor Working Group,Member,,,
Dan Silver,Endangered Habitats League,Chief Executive Officer,,,
Dan Silver,Wildlife Corridor Working Group,Member,,,
Dan Smuts,The Wilderness Society,Interim Deputy Vice President Pacific Region,,,
Dan Smuts,Wildlife Corridor Working Group,Member,,,
Dana Everhart,Sequoia Riverlands Trust,Volunteer Coordinator,,,
Daniel Strait,U.S. Bureau of Reclamation,Program Manager,,,
Danielle Dolan,Local Government Commission,Water Program Director,,,
Daphne Miller,University of California San Francisco,Clinical Professor,,,
Darla Guenzler,Wildlife Heritage Foundation,Executive Director,,,
Darla Guenzler,California Council of Land Trusts,Founder,,,
Darrell Wood,Panorama Meats,Founder,,,
Darren Suen,City of Elk Grove,City Council Member,,,
Darren Suen,Sacramento Area Council of Governments,Board Member,,,
Dave Halsing,California State Coastal Conservancy,Executive Project Manager,,,
Dave Runsten,Community Alliance with Family Farmers,Policy Director,,,
David Bunn,California Department of Conservation,Director,,2015,2019
David Bunn,UCD Graduate Program of Environmental Policy and Management,Director,,2019,
David Jaeckel,Midpeninsula Regional Open Space District,Project Manager,,,
David Lewis,Save the Bay,Executive Director,,,
David Lewis,San Francisco Bay Joint Venture,Board Member,,,
David Peterson,City of Santa Clarita,Associate Planner,,,
David Sander,City of Rancho Cordova,City Council Member,,,
David Sander,Sacramento Area Council of Governments,Board Member,,,
Dawn Murray,California Biodiversity Network,,Member,,
Dawn Murray,Antioch University,Professor of Environmental Studies,Faculty,,
Dean Kwasny,Natural Resources Conservation Service,Easement Programs Specialist,,,
Dean Kwasny,San Francisco Bay Joint Venture,Board Member,,,
Deanne DiPietro,California Biodiversity Network,,Member,,
Deanne DiPietro,Conservation Biology Institute,Senior Science Coordinator,Employee,,
Deborah Hirst,Midpeninsula Regional Open Space District,Grants Program Manager,,,
Deborah Hirst,Wildlife Corridor Working Group,Member,,,
Dennis McEwan,California Department of Water Resources,Chief of the State Water Project Mitigation and Restoration Branch,,,
Derek Booth,University of California Santa Barbara,Professor,,,
Derek Poultney,Ventura Land Trust,Executive Director,,2010,
Diana Edwards,AECOM,Project Manager,,,
Diana Ruiz,Riverside-Corona Resource Conservation District,Public Affairs Manager,,,
Diane Hayes,Sequoia Riverlands Trust,Development Director,,,
Dianna Poggetto,American River Parkway Foundation,Executive Director,Director,,
Diego Ortiz,Pacoima Beautiful,Youth Program Coordinator,,,
Don Cameron,Terranova Ranch Inc.,Vice President/General Manager,Owner,,
Don Cameron,California State Board of Food and Agriculture,President,Board Member,,
Don Cameron,California Tomato Growers Association,Director,Director,,
Don Cameron,Raisin City Water District,Director,Director,,
Don Cameron,McMullin Area Groundwater Sustainabilty Agency,Chairman,Director,,
Don Hankins,California Biodiversity Network,,Member,,
Don Hankins,CSU Chico Department of Geography and Planning,,Faculty,,
Don Saylor,Sacramento Area Council of Governments,Board Member,,,
Don Saylor,Yolo County,Board of Supervisors,,,
Don Saylor,Valley Clean Energy,Board of Directors,Board Member,,
Don Yasuda,U.S. Forest Service,Regional Analyst,Employee,,
Don Yasuda,California Biodiversity Network,,Member,,
Don Yasuda,California Biodiversity Council,Chair of the Interagency Alignment Team,Member,,
Don Yasuda,The Wildlife Society,Vice President,Board Member,,
Donald Bransford,California State Board of Food and Agriculture,Agricultural Industry Member,Board Member,,
Donald Bransford,Bransford Farms,Owner,Owner,,
Donald Bransford,Glenn-Colusa Irrigation District,Board Member,Board Member,,
Donald Portz,U.S. Bureau of Reclamation,Program Manager,,,
Donna Harmon,Watershed Research and Training Center,Board Member,,,
Doug Campbell,Coastal Ranches Conservancy,Executive Director,,,
Doug Campbell,Wildlife Corridor Working Group,Member,,,
Dru Rivers,Full Belly Farm,Owner,,,
Duskie Estes,Farm to Pantry,Executive Director,,,
E.J. Remson,The Nature Conservancy,Senior Project Director,,,
E.J. Remson,Wildlife Corridor Working Group,Member,,,
Edith Hannigan,California Board of Forestry and Fire Protection,Board Staff,,,
Edith Hannigan,Fire Adapted Communities Learning Network,Member,,,
Edmund Sullivan,Santa Clara Valley Habitat Agency,Executive Officer,,,
Elena Delacy,American River Conservancy,Executive Director,Director,,
Elise Gornish,University of Arizona,Cooperative Extension Specialist,,,
Elizabeth Archer,California Biodiversity Network,,Member,,
Elizabeth Morrison,San Francisco Bay Regional Water Quality Control Board,North Bay Section Leader,,,
Elizabeth O'Donoghue,The Nature Conservancy,Director of the Sustainable Development Strategy,,,
Ellen Fred,Conservation Partners,Principal,,,
Ellen Wehr,California Biodiversity Network,,Member,,
Ellen Wehr,Grassland Water District,General Counsel,Employee,,
Ellen Wehr,Ducks Unlimited,,Board Member,,
Elva Yañez,Prevention Institute,Director of Health Equity,,,
Emily Burns,Save the Redwoods League,Director of Science,,2010,2019
Emily Tibbott,California Strategic Growth Council,Senior Program Advisor,,,
Emma Johnston,California Natural Resources Agency,Climate Change Policy Analyst,,,
Eric Aaholm,YES Nature to Neighborhoods,Executive Director,,2017,
Eric Holst,California State Board of Food and Agriculture,Public Member (Environment),Board Member,,
Eric Holst,Environmental Defense Fund,Associate Vice President Working Lands,Employee,,
Eric Stein,Southern California Coastal Water Research Project,Biology Department Head,,,
Eric Wood,California State University - Los Angeles,Professor,,,
Erika Foster,California Biodiversity Network,,Member,,
Erika Foster,Point Blue Conservation Science,Soil Ecologist,Employee,,
Erin Healy,Pacific Forest and Watershed Lands Stewardship Council,Director of Programs and Administration,,2017,
Erin Satterthwaite,California Biodiversity Network,,Member,,
Erin Satterthwaite,California Cooperative Oceanic Fisheries Investigations,Coordinator,Employee,,
Ernest Cook,Network For Landscape Conservation,Interim Director,Director,,
Evan Schmidt,Valley Vision,CEO,Director,2020,
Evyan Borgnis Sloane,California State Coastal Conservancy,"Project Manager, South Coast Region",,,
Femke Freiberg,National Fish and Wildlife Foundation,California Water Programs Manager,,,
Fernando Cazares,Trust for Public Land,Senior Program Manager,,,
Fiona Lyons,Cumming Corporation,Business Development Manager,,,
Forest Shafer,Tahoe Fire & Fuels Team,Staff,,,
Forest Shafer,Fire Adapted Communities Learning Network,Member,,,
Fran Pavley,Wildlife Corridor Working Group,Member,,,
Frances Malamud-Roam,USACE San Francisco District,Permit Manager,,,
Francis Appiah,Caltrans,Environmental Planner,,,
Frank Davis,University of California Santa Barbara,Professor,,,
Frank Ruiz,Audubon California,Salton Sea Program Director,,,
Fred Euphrat,California Biodiversity Network,,Member,,
Gabriela Worrel,Wildlife Corridor Working Group,Member,,,
Galli Basson,Santa Clara Valley Open Space Authority,Resource Management Specialist,,,
Galli Basson,Wildlife Corridor Working Group,Member,,,
Gary Bradford,Sacramento Area Council of Governments,Board Member,,,
Gary Bradford,Yuba County,Board of Supervisors,,,
Gary Knoblock,S. D. Bechtel Jr. Foundation,Senior Program Director,,,
Geoffrey Geupel,Point Blue Conservation Science,Strategic Partnerships Director,,,
Geoffrey Geupel,California Partners in Flight,Co-Chair,,,
Geoffrey Schladow,Tahoe Science Advisory Council,Council Member,,,
Geoffrey Schladow,Tahoe Environmental Research Center,Director,,,
Geoffrey Schladow,UCD Department of Civil and Environmental Engineering,Professor,,,
Gio Aliano,Adobe Communities,Architect,,,
Graham Chisholm,Audubon California,Executive Director,,2009,2011
Graham Chisholm,Conservation Strategy Group,Senior Policy Advisor,,,
Graham Chisholm,The Nature Conservancy,Director California Program,,2001,2004
Greg Benoit,California Apartment Association Greater Inland Empire,Vice President of Public Affairs,,,
Greg Martinelli,California Department of Fish and Wildlife,State Wildlife Lands Program Manager,,,
Greg Martinelli,San Francisco Bay Joint Venture,Board Member,,,
Gretchen LeBuhn,California Biodiversity Network,,Member,,
Gretchen LeBuhn,SFSU Department of Biology,Professor,Faculty,,
Hayley Edmonston,Midpeninsula Regional Open Space District,Staff,,,
Heather Casillas,U.S. Bureau of Reclamation,CVPIA Program Manager,,,
Heather Casillas,Central Valley Joint Venture,Board Member,,,
Heather Nichols,Yolo County Resource Conservation District,Executive Director,,,
Heather Nichols,California Association of Resource Conservation Districts,Board Member,,,
Helen Swagerty,River Partners,Project Director,,,
Helen Swagerty,Central Valley Joint Venture,Board Member,,,
Helene Dillard,California State Board of Food and Agriculture,Academic Member (University of California),Board Member,,
Helene Dillard,UCD College of Agricultural and Environmental Sciences,Dean,Director,,
Hisham Noeimi,Contra Costa Transportation Authority,Director of Programming,,,
Honey Bernas,Western Riverside County Regional Conservation Authority,Interim Executive Director,,,
India Brookover,Southern California Association of Governments,Associate Regional Planner,,,
J.P. Tindell,City of Sacramento,Manager of Park Planning and Development,,,
Jack Thompson,The Wildlands Conservancy,Desert Regional Director,,,
Jacob Lieb,Metro,Senior Director,,,
Jacqueline Guevara,Mojave Desert Land Trust,Director of Education & Public Engagement,,,
Jake Messerli,California Waterfowl Association,Chief Operating Officer,,,
Jake Messerli,Central Valley Joint Venture,Board Member,,,
James Corless,Sacramento Area Council of Governments,Executive Director,,,
James Rickert,Belcampo Meat Company,Farm and Procurement Director,,,
Jan Clark-Crets,Sacramento Area Council of Governments,Board Member,,,
Jan Clark-Crets,Town of Loomis,Town Council Member,,,
Janet Adams,Solano Transportation Authority,Director of Projects,,,
Janine Knapp,The Nature Conservancy,Staff,,,
Jarrad Fisher,San Mateo Resource Conservation District,Conservation Program Manager,,,
Jay Dean,John Muir Land Trust,Creative Strategy Director,,,
Jay Dean,Trust for Public Land,Chief Marketing Officer,,,
Jay Schenirer,City of Sacramento,City Council Member,,,
Jay Schenirer,Sacramento Area Council of Governments,Board Member,,,
Jeanne Brantigan,The Nature Conservancy,Water Resources Specialist,,,
Jeanne Brantigan,Central Valley Joint Venture,Board Member,,,
Jeannette Tuitele-Lewis,Big Sur Land Trust,President/CEO,,2014,
Jeannette Tuitele-Lewis,Sierra Foothill Conservancy,Executive Director,,2009,2014
Jeff Darlington,Placer Land Trust,Executive Director,,2002,
Jeff Darlington,Wildlife Corridor Working Group,Member,,,
Jeff Darlington,Sierra Cascade Land Trust Council,Board Member,,,
Jeff Huckaby,California State Board of Food and Agriculture,Agricultural Member,Board Member,,
Jeff McCreary,Ducks Unlimited,Director of Operations,,1999,
Jeff McCreary,San Francisco Bay Joint Venture,Board Member,,,
Jeff McCreary,Central Valley Joint Venture,Board Member,,,
Jeffrey Stoddard,California Department of Fish and Wildlife,Wildlife Area Manager,,,
Jeffrey Volberg,California Waterfowl Association,Director of Water Law and Policy,,,
Jeffrey Volberg,Wildlife Corridor Working Group,Member,,,
Jennie Olson,The Nature Conservancy,Staff,,,
Jennifer Ganata,Communities for a Better Environment,Senior Staff Attorney,,,
Jennifer Hargrove,Sacramento Area Council of Governments,Senior Planner,Employee,,
Jennifer Koepcke,Peninsula Open Space Trust,Director of Institutional Engagement,,,
Jennifer Koepcke,Wildlife Corridor Working Group,Member,,,
Jennifer Kropke,International Brotherhood of Electrical Workers,Director of Workforce and Environmental Engagement,,,
Jennifer Marsolais,Eldorado National Forest,Environmental Coordinator,,,
Jennifer Norris,California Natural Resources Agency,Deputy Secretary for Biodiversity,,,
Jennifer Norris,Central Valley Joint Venture,Board Member,,,
Jennifer Norris,California Natural Resources Agency,Deputy Secretary for Biodiversity,,,
Jennifer Ward,Orange County Business Council,Senior Vice President of Advocacy & Government Affairs,,,
Jerard Wright,Los Angeles County Business Federation,Policy Manager,,,
Jessica Daugherty,Pacific Forest and Watershed Lands Stewardship Council,Staff,,,
Jessica Davenport,California State Coastal Conservancy,Deputy Regional Manager,,,
Jessica Davenport,San Francisco Bay Joint Venture,Board Member,,,
Jessica Inwood,Save the Redwoods League,Parks Program Manager,,,
Jessie Vinje,California Biodiversity Network,,Member,,
Jessie Vinje,Conservation Biology Institute,Rare Plant Botanist/Biologist,Employee,,
Jill Gayaldo,City of Rocklin,City Council Member,,,
Jill Gayaldo,Sacramento Area Council of Governments,Board Member,,,
Jim Araby,United Food and Commercial Workers International Union,Western States Council Executive Director,,,
Jim Haagen-Smit,Placer Land Trust,Board Member,,2008,
Jim Jensen,Marin Agricultural Land Trust,Stewardship Manager,,,
Jim McKevitt,USFWS Pacific Southwest Region,Program Manager,,,
Jim Quinn,IC-FOODS,Advisor,,2019,
Jim Quinn,Information Center for the Environment,Professor Emeritus,,,
Jo Ann Baumgartner,Wild Farm Alliance,Executive Director,,2001,
Joan Cardellino,California State Coastal Conservancy,Manager,,1986,
Joanna Chang,Orange County Public Works,Land Use Manager,,,
Joe Issel,San Mateo Resource Conservation District,Natural Resource Specialist,,,
Joe Maxwell,Family Farm Action Alliance,President,,,
Joel Chaban,Redwood Coast Land Conservancy,Board Member,,,
John Cleckler,U.S. Fish and Wildlife Service,Biologist,,,
John Coleman,Bay Planning Coalition,Chief Executive Officer,,2011,
John Coleman,San Francisco Bay Joint Venture,Board Member,,,
John Cunningham,U.S. Army Corps of Engineers,Commander and District Engineer,,,
John Cunningham,San Francisco Bay Joint Venture,Board Member,,,
John Dell'Osso,Point Reyes National Seashore,Chief of Interpretation and Resource Education,,,2019
John Donnelly,California Wildlife Conservation Board,Executive Director,,1996,
John Donnelly,San Francisco Bay Joint Venture,Board Member,,,
John Donnelly,California Department of Fish and Wildlife,Realty Services Coordinator,,1988,1996
John Donnelly,Central Valley Joint Venture,Board Member,,,
John Donnelly,Coachella Valley Mountains Conservancy,Board Member,,,
John Donnelly,Rivers and Mountains Conservancy,Board Member,,,
John Donnelly,San Diego River Conservancy,Board Member,,,
John Donnelly,San Joaquin River Conservancy,Board Member,,,
John Gallo,Conservation Biology Institute,Senior Scientist,Employee,,
John Gallo,California Biodiversity Network,,Member,,
John Hopkins,Institute for Ecological Health,Director,,,
John Hopkins,Wildlife Corridor Working Group,Member,,,
John Howell,Arroyos and Foothills Conservancy,Chief Executive,,,
John Howell,Wildlife Corridor Working Group,Member,,,
John McCaull,Sonoma Land Trust,Land Acquisition Director,,,
John McCaull,Wildlife Corridor Working Group,Member,,,
John Melack,Bren School of Environmental Science and Management,Professor,,2006,
John Melack,UCSB Department of Ecology Evolution and Marine Biology,Professor,,1987,
John Melack,Tahoe Science Advisory Council,Council Member,,,
John Swett,U.S. Bureau of Reclamation,Program Manager,,,
John Walsh,California Wildlife Conservation Board,Director of Acquisitions,,,
Jon Christensen,UCLA Institute of the Environment and Sustainability,Adjunct Assistant Professor,,,
Jon Gurish,California State Coastal Conservancy,Staff Counsel,,,
Jon Hughs,United Food and Commercial Workers International Union,,,,
Jonathan Birdsong,National Fish and Wildlife Foundation,Director Western Regional Office,,2014,
Jonathan Birdsong,San Francisco Bay Joint Venture,Board Member,,,
Josh Lee,San Bernardino County Transportation Authority,Chief of Planning,,,
Joshua Hugg,Midpeninsula Regional Open Space District,Governmental Affairs Specialist,,,
Joshua Hugg,Wildlife Corridor Working Group,Member,,,
Joshua Hugg,Midpeninsula Regional Open Space District,Governmental Affairs Specialist,,,
Joshua Wilson,USFS Pacific Southwest Region,Program Manager,,,
Joshua Wilson,Tahoe Science Advisory Council,Council Member,,,
Joy Sterling,California State Board of Food and Agriculture,Agricultural Industry Member,Board Member,,
Joy Sterling,Iron Horse Vineyards,Owner,Owner,,
Julian Wood,Point Blue Conservation Science,San Francisco Bay Program Leader,,,
Julian Wood,San Francisco Bay Joint Venture,Board Member,,,
Julie Andersen,Midpeninsula Regional Open Space District,Senior Resource Management Specialist,,,
Julie Andersen,Wildlife Corridor Working Group,Member,,,
Julie Gerson,Anza-Borrego Foundation,Land Program Manager,,,
Julie Morris,Morris Grassfed,Owner,,,
Julie Weeder,National Marine Fisheries Service,Recovery Planner,,,
Justin Garland,Peninsula Open Space Trust,Redwoods Program Manager,,,
Justin Rausa,Roots of Change,Policy Director,,,
Justin Wages,Placer Land Trust,Land Manager,,,2020
Kaila Dettman,The Land Conservancy of San Luis Obispo County,Executive Director,,2005,
Kaley Grimland de Mendoza,Sol Seeker Farm,Owner,,,
Kansas McGahan,Placer County Department of Public Works,Senior Engineer,,,
Kara Heckert,American Farmland Trust,California Regional Director,,,
Karen Buhr,California Association of Resource Conservation Districts,Executive Director,,2010,
